name,summary,calories,protein,carbs,fat,meal_type,ingredients,instructions,servings,prep_time,cook_time,course,nutrition_details,proper_meal_type,dish_type,t2d_suitable,cvd_suitable,healthiness
broccoli pesto penne with chilli and garlic sizzle,A diabetic-friendly recipe with a Pakistani twist.,422.0,20.0,55.0,18.0,unknown,"['1 unit 150g wholewheat penne', '1 unit 200g broccoli florets', '1 unit 30g pack basil', '1 unit 15g flat-leaf parsley', '1 unit 20g roasted chopped hazelnuts', '1 unit 3 teaspoon mustard oil', '1 unit 30g vegetarian hard cheese or paneer', '1 unit 2 garlic cloves', '1 unit 1 large red chilli', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a pan of boiling water, cook the pasta following the pack instructions. in another pan of boiling water, blanch the broccoli for 3 mins, drain and refresh under cold water.   in a food processor, whizz the broccoli with the basil, parsley, nuts and 1 tsp oil, until finely chopped. add the cheese and 4-5 tbsp of the pasta cooking water to loosen the pesto, then pulse. season to taste.', 'when the pasta is ready, drain and return to the pan. add the broccoli pesto and mix through the pasta to coat.   heat the remaining oil in a pan, add the garlic and chilli and stir-fry for 1 min over a high heat, until softened and browning slightly.', 'divide the pasta between 2 serving bowls, and spoon over the garlic and chilli sizzle. serve with a few cheese shavings.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '100 mg', 'Potassium': '800 mg', 'Fiber': '8 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '100%', 'Calcium': '20%', 'Iron': '15%'}",dinner,main,maybe,maybe,7
savoury turkey pot pie,A diabetic-friendly recipe with a Pakistani twist.,423.0,35.0,35.0,20.0,unknown,"['1 unit 1 tablespoon mustard oil', '1 unit 220g cubed turkey breast', '1 unit ¼ cup cake flour', '1 unit 1 ½ cups chicken stock', '1 unit 1 onion', '1 unit ¼ cup peas', '1 unit ¼ cup diced carrots', '1 unit 1 teaspoon dried parsley', '1 unit 1 teaspoon dried ajwain', '1 unit pinch white pepper', '1 unit 140g cubed sweet potatoes', '1 unit 3 tablespoons butter', '1 unit 140g sliced zucchini', '1 unit pinch of salt and pepper', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat oil in a pan, add turkey and sauté for 3-5 minutes until browned.', 'mix the flour and chicken stock together, add to turkey and simmer for 10 minutes.', 'add veggies and seasoning, simmer for 5-8 minutes.', 'divide turkey mixture among two baking dishes. top with potatoes, butter and zucchini, season with salt and pepper and bake for 30-45 minutes or until golden.']",2.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '250 mg', 'Potassium': '400 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '15%'}",dinner,main,maybe,no,6
strawberry-chocolate yoghurt bark,A diabetic-friendly recipe with a Pakistani twist.,149.0,10.0,30.0,7.0,unknown,"['1 unit 3 cups low fat  yoghurt', '1 unit 3 tablespoons pure maple syrup or honey', '1 unit 1 teaspoon vanilla essence', '1 unit 1 ½ cups sliced strawberries', '1 unit ¼ cup mini chocolate chips', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['line a large rimmed baking sheet with parchment paper.', 'stir yogurt, maple syrup (or honey) and vanilla in a medium bowl. spread on the prepared baking sheet . scatter the strawberries on top and sprinkle with chocolate chips.', 'freeze until very firm, at least 3 hours. to serve, cut or break into pieces.']",15.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '0.5 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '50 mg', 'Potassium': '250 mg', 'Fiber': '2 g', 'Sugar': '20 g', 'Vitamin A': '2%', 'Vitamin C': '50%', 'Calcium': '20%', 'Iron': '4%'}",afternoon_snack,dessert,no,maybe,5
spicy potato burgers,A diabetic-friendly recipe with a Pakistani twist.,438.0,8.0,60.0,18.0,unknown,"['1 unit 800g potatoes', '1 unit 2 tablespoons vegetable oil', '1 unit 2 teaspoons mustard seeds', '1 unit 2 teaspoons cumin seeds', '1 unit 1½ teaspoons ground turmeric', '1 unit 2 teaspoons garam masala', '1 unit 12 dried curry leaves', '1 unit 1 large red onion', '1 unit 2 tablespoons garlic and ginger paste', '1 unit 30g pack fresh coriander', '1 unit ½ lemon', '1 unit 2 tablespoons cornflour', '1 unit 4 large whole wheat rolls', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['boil the potatoes in a pan for 12-15 mins until tender. drain well, then steam-dry for 10 mins.', 'heat 1 tbsp oil in a frying pan over a medium-high heat. add the mustard and cumin seeds, turmeric, garam masala and curry leaves. fry, stirring, for 2 mins until aromatic and sizzling, then add the chopped onion and reduce the heat to medium. cook, stirring regularly, for 5 mins or until the onion has softened. add the garlic & ginger paste and cook, stirring, for 2-3 mins until aromatic; put into a bowl and set aside.', 'mash the potatoes in a bowl until smooth. add the chopped coriander and the onion mixture, lemon zest and cornflour. season and mix well. once cool enough to handle, divide into 4 patties, each about 2.5 cm thick. transfer to the fridge for 1 hr until firm.', 'preheat the tandoor or handi to 200°c and line a baking tray with nonstick baking paper. heat the remaining oil in a wide nonstick frying pan over a medium-high heat and fry the patties 2 at a time for 4-5 mins until golden and crispy on the bottom; flip and repeat. transfer to the tray and cook the rest of the patties. bake for 10 mins, adding the halved rolls to another tray for the last 2 mins to warm through', 'to assemble, add a spoonful of yogurt (if using) to the base of each roll, then top with a potato patty and scatter over the remaining coriander.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2.5 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '250 mg', 'Potassium': '1200 mg', 'Fiber': '8 g', 'Sugar': '6 g', 'Vitamin A': '15%', 'Vitamin C': '40%', 'Calcium': '6%', 'Iron': '15%'}",lunch,main,maybe,yes,7
fruit and nut muffins,A diabetic-friendly recipe with a Pakistani twist.,229.0,4.0,32.0,12.0,unknown,"['1 unit 2  ¼ cups whole wheat flour', '1 unit 2 teaspoons baking powder', '1 unit 2 teaspoons all spice', '1 unit 1 teaspoon ground ginger', '1 unit ½ cup butter( melted)', '1 unit ¼ cup brown sugar', '1 unit 3/4 cup milk', '1 unit 2 eggs', '1 unit 3/4 cup dried mixed fruits', '1 unit ¼ cup chopped pecan nuts', '1 unit 2 tablespoons chopped hazelnuts', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180°c and line a muffin pan with cups.', 'sift together the whole wheat flour and baking powder.a dd the spices and mix well.   whisk together the eggs and milk. combine with dry ingredients.', 'add the butter and mix well. add the dried fruit and nuts, combine.', 'spoon into muffin trays.', 'bake for 20 minutes.', 'turn out onto a wire rack and cool.']",12.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '40 mg', 'Sodium': '120 mg', 'Potassium': '250 mg', 'Fiber': '4 g', 'Sugar': '16 g', 'Vitamin A': '8%', 'Vitamin C': '4%', 'Calcium': '10%', 'Iron': '8%'}",breakfast,main,maybe,maybe,6
whole grain pancakes,A diabetic-friendly recipe with a Pakistani twist.,223.0,8.0,35.0,8.0,unknown,"['1 unit 1 cup whole wheat flour', '1 unit 1/4 cup millet flour', '1 unit 1/2 cup barley flour', '1 unit 2 tablespoons flaxseed flour', '1 unit 1/4 cup rolled oats', '1 unit 1 1/2 tablespoons baking powder', '1 unit 2 tablespoons honey', '1 unit 1 tablespoon oil', '1 unit 2 1/4 cups soy milk', '1 unit 3 large egg whites', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a large bowl, mix dry ingredients together.', 'in a separate bowl, mix wet ingredients — honey, oil, soy milk and beaten egg whites. add egg mixture to dry ingredients. stir until just combined. let batter rest for 30 minutes in refrigerator.', 'place a  non-stick frying pan on medium heat. spoon or ladle about 1/4 cup of batter into pan to make one pancake.', 'cook until small bubbles form and the edges begin to look dry. flip and cook until brown on the second side.', 'repeat with remaining batter.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '3 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '120 mg', 'Potassium': '250 mg', 'Fiber': '5 g', 'Sugar': '8 g', 'Vitamin A': '2%', 'Vitamin C': '0%', 'Calcium': '10%', 'Iron': '15%'}",breakfast,main,maybe,yes,7
butternut and red lentil curry,A diabetic-friendly recipe with a Pakistani twist.,423.0,18.0,60.0,18.0,unknown,"['1 unit 2 tablespoons canola oil', '1 unit 1 ½ cups diced onion', '1 unit 2 cloves garlic', '1 unit 1 tablespoon minced fresh ginger', '1 unit 2 teaspoons curry powder or garam masala', '1 unit 2 cups cubed peeled butternut', '1 unit 1 cup red lentils', '1 unit 1 cup chopped fresh tomato', '1 unit 1 ½ teaspoons salt', '1 unit 4 cups water', '1 unit 1 can low fat coconut milk', '1 unit 5 lime wedges', '1 unit chopped fresh coriander for garnish', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat oil in a large pot over medium-high heat. add onion, garlic, ginger and curry powder (or garam masala); cook, stirring often, until the onion is starting to soften, 2 to 3 minutes. add squash, lentils, tomato and salt; cook, stirring, for 1 minute. add water.', 'cover and bring to a boil over high heat. reduce heat to maintain a lively simmer; cook, covered, stirring occasionally, until the squash is tender and the lentils are mostly broken down, about 20 minutes.', 'stir in coconut milk and simmer until heated through, about 1 minute. serve with lime wedges and coriander, if desired.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '400 mg', 'Potassium': '1200 mg', 'Fiber': '10 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '25%'}",lunch,main,maybe,no,7
cauliflower fried rice,A diabetic-friendly recipe with a Pakistani twist.,170.0,10.0,12.0,8.0,unknown,"['1 unit 1 head cauliflower', '1 unit 1 small onion', '1 unit 1/2 cup fresh or frozen peas', '1 unit 1/2 cup carrots', '1 unit 2 eggs', '1 unit 1 tablespoon sesame oil', '1 unit 1/4 cup low sodium soy sauce', '1 unit 1 tablespoon honey', '1 unit 2 cloves garlic', '1 unit 1/4 teaspoon fresh grated ginger', '1 unit 1/4 teaspoon red pepper flakes', '1 unit 2 tablespoons spring onions', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['chop a head of cauliflower into florets and place it in a food processor. pulse until it starts to resemble rice and set aside.', 'heat a large wok or skillet over medium heat and drizzle in sesame oil. add chopped onion, peas and carrots and sauté until tender, about 2 to 3 minutes.', 'in a small bowl, whisk together the soy sauce, honey, fresh ginger and red pepper flakes. set aside until ready to use.', 'in the skillet that you’re cooking the vegetables in, slide the veggie mixture to one side of the pan and add in the beaten eggs, scrambling until cooked through and then incorporating them with the veggies.', 'stir in cauliflower ""rice"" and pour the soy sauce over top, mixing well. cook for an additional 3 to 4 minutes, until cauliflower is soft and tender.', 'stir in cauliflower rice and pour the sauce over top, mixing everything well. cook for an additional 3 to 4 minutes, until the cauliflower is soft and tender. top with green onions and serve.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1.5 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '120 mg', 'Sodium': '150 mg', 'Potassium': '400 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '4%', 'Iron': '10%'}",lunch,main,yes,maybe,8
spiced lentil and spinach salad,A diabetic-friendly recipe with a Pakistani twist.,436.0,22.0,55.0,18.0,unknown,"['1 unit 1½ teaspoons cumin seeds', '1 unit 2 large oranges', '1 unit 2 ½ tablespoons extra-virgin mustard oil', '1 unit 1 tablespoon red wine vinegar', '1 unit pinch of crushed chillies (optional)', '1 unit 2 x 400g tins green lentils', '1 unit 10g fresh flat-leaf parsley', '1 unit 1/2 cup baby spinach', '1 unit 30g walnut halves', '1 unit 100g soft dried apricots', '1 unit 75g reduced-fat feta cheese', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['dry-fry the cumin seeds in a small frying pan over a medium heat for 1-2 mins, shaking the pan, until fragrant and a shade darker. roughly crush with a pestle or the base of a sturdy jar.', 'slice the skin and white pith from the oranges, then slice the fruit into 1cm-thick rounds, reserving about 3 tbsp juice from the chopping board in a bowl. whisk the oil and vinegar into the juice along with the crushed cumin seeds and chillies, if using. season to taste.', 'mix the lentils and parsley with the baby spinach, walnut halves, orange slices and the sliced apricot. toss with the dressing, transfer to a serving dish and scatter with the salad cheese.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '3.5 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '200 mg', 'Potassium': '800 mg', 'Fiber': '10 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '25%'}",lunch,main,maybe,maybe,8
spinach and mushroom lasagna,A diabetic-friendly recipe with a Pakistani twist.,424.0,25.0,55.0,15.0,unknown,"['1 unit 800g tin chopped tomatoes', '1 unit 1 tablespoon tomato puree', '1 unit 2 cloves garlic', '1 unit 1 heaped teaspoon dried oregano', '1 unit 1 teaspoon mustard oil', '1 unit 1 onion', '1 unit 1 large red pepper', '1 unit 250g mushrooms', '1 unit 2 teaspoons flour', '1 unit 250ml skimmed milk', '1 unit 300g frozen spinach (defrosted and drained)', '1 unit 100g extra-light malai cheese', '1 unit 1 teaspoon dijon mustard', '1 unit 1/2 teaspoon black pepper', '1 unit 250g wholemeal lasagne', '1 unit 2-3 fresh tomatoes', '1 unit 30g cheddar', '1 unit 6 fresh', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to 180°c/gas 4. blend together the tomatoes, tomato puree, garlic and oregano to make a tomato sauce, then set aside.', 'heat the oil in a pan and add the onion. cook for 2–3 minutes, add the red pepper and cook a further 2–3 minutes. add the mushrooms, cook for 2 minutes then gradually stir in the flour to coat the vegetables.', 'gradually, stir in the milk until it starts to thicken, add the spinach and stir for 1 minute then stir in the cream cheese, mustard and black pepper.', 'to an tandoor or handiproof dish add a little of the tomato sauce then top with a layer of lasagne. now add a layer of the mushroom, spinach and cheese mix and repeat until you end with a layer of tomato sauce then top with the thinly sliced tomatoes.', 'sprinkle with cheddar and bake for 30–35 minutes. scatter with fresh basil to serve.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '5 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '8 g', 'Sugar': '10 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '20%', 'Iron': '15%'}",dinner,main,maybe,no,6
stir fried thai garlic prawns,A diabetic-friendly recipe with a Pakistani twist.,219.0,18.0,12.0,14.0,unknown,"['1 unit 2 cloves garlic (minced)', '1 unit 2 tablespoons oil', '1 unit 24 raw prawns (deveined with head removed)', '1 unit 1 tablespoon chopped coriander', '1 unit 1 teaspoon sesame seeds', '1 unit thai dipping sauce:', '1 unit 1 clove garlic (minced)', '1 unit 1 tablespoon coriander', '1 unit ¼ cup lime juice', '1 unit ½ teaspoon brown sugar', '1 unit 1 teaspoon green curry paste', '1 unit ½ teaspoon chili flakes', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a bowl, add the garlic, oil and prawns, mix well. allow to sit in the refrigerator for 30 minutes.', 'heat up a large non-stick pan and fry the marinated prawns for 1-2 minutes.', 'top with coriander and sesame seeds.', 'for the dipping sauce: place all ingredients in a blender and blitz till smooth. serve as an accompaniment for the prawns.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '120 mg', 'Sodium': '250 mg', 'Potassium': '400 mg', 'Fiber': '2 g', 'Sugar': '6 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '4%', 'Iron': '15%'}",dinner,main,yes,maybe,7
cauliflower schwarma,A diabetic-friendly recipe with a Pakistani twist.,301.0,15.0,40.0,12.0,unknown,"['1 unit 1 extra-large cauliflower (900g)', '1 unit 180g shawarma paste', '1 unit 1 red onion', '1 unit 2 tablespoons red wine vinegar', '1 unit 2 tablespoons tahini', '1 unit 150g fat-free yoghurt', '1 unit 2 lemons', '1 unit 1 garlic clove', '1 unit 4 plain laffa-style flatbreads', '1 unit 4 tablespoons pomegranate seeds', '1 unit 4 sprigs fresh mint', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to 200°c. place the cauliflower slices and leaves onto a large baking tray and toss in the shawarma paste. roast for 25 mins, turning half way, until charred at the edges.', 'meanwhile, place the red onion and red wine vinegar in a bowl with a pinch of salt; scrunch together with your hands to combine. put the bowl to one side.', 'spoon the tahini and yoghurt into a mixing bowl, along with the lemon juice and garlic. mix until smooth, adding 2 tbsp warm water to loosen. season to taste.   splash a little water over the flatbreads and wrap in tin foil. warm in the hot tandoor or handi for the final 5 mins of the cauliflower cooking time.', 'spread the tahini yoghurt over each warmed flatbread and top with the roasted cauliflower. add the pickled red onion, pomegranate seeds and mint leaves. finish with a lemon wedge.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '10 g', 'Sugar': '15 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '10%'}",dinner,main,maybe,yes,7
banana nut oatmeal cups,A diabetic-friendly recipe with a Pakistani twist.,251.0,5.0,35.0,9.0,unknown,"['1 unit 3 cups rolled oats', '1 unit 1 ½ cups low-fat milk', '1 unit 2 ripe bananas', '1 unit ⅓ cup brown sugar', '1 unit 2 large eggs', '1 unit 1 teaspoon baking powder', '1 unit 1 teaspoon ground cinnamon', '1 unit 1 teaspoon vanilla essence', '1 unit ½ teaspoon salt', '1 unit ½ cup toasted chopped pecans', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180°c. coat a muffin tin with cooking spray.', 'combine oats, milk, bananas, brown sugar, eggs, baking powder, cinnamon, vanilla and salt in a large bowl. fold in pecans.', 'divide the mixture among the muffin cups (about 1/3 cup each).', 'bake until a toothpick inserted in the center comes out clean, about 25 minutes. cool in the pan for 10 minutes, then turn out onto a wire rack. serve warm or at room temperature.']",12.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1.5 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '5 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '120 mg', 'Potassium': '250 mg', 'Fiber': '4 g', 'Sugar': '15 g', 'Vitamin A': '8%', 'Vitamin C': '12%', 'Calcium': '10%', 'Iron': '8%'}",breakfast,main,maybe,yes,6
apple crumble,A diabetic-friendly recipe with a Pakistani twist.,217.0,2.0,35.0,12.0,unknown,"['1 unit ½ cup regular rolled oats', '1 unit 2 tablespoons whole wheat flour', '1 unit 2 tablespoons brown sugar', '1 unit ½ teaspoon ground cinnamon', '1 unit 1 tablespoon cold butter', '1 unit 3 medium green apples (cored and cut into thin wedges)', '1 unit 2 tablespoons water', '1 unit 1 tablespoon fresh lemon juice', '1 unit 1 tablespoon brown sugar', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to 180°c.', 'in a medium bowl , combine oats, flour, 2 tablespoons brown sugar and cinnamon. mix with fork until combined.', 'add the butter and rub in until the mixture begins to form clumps.', 'in a large bowl toss the apples with the water, lemon juice and remaining 1 tablespoon brown sugar. transfer apple mixture to a pie plate.', 'sprinkle the oat mixture evenly over the apples.', 'bake for 40 to 45 minutes or until the topping is golden and the apples are tender.', 'if desired, serve warm with yoghurt.']",6.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '50 mg', 'Potassium': '150 mg', 'Fiber': '4 g', 'Sugar': '20 g', 'Vitamin A': '2%', 'Vitamin C': '8%', 'Calcium': '2%', 'Iron': '4%'}",dessert,dessert,no,no,4
lamb and bean stew,A diabetic-friendly recipe with a Pakistani twist.,442.0,35.0,30.0,25.0,unknown,"['1 unit 3 tablespoons sunflower oil', '1 unit 1 onion (peeled and sliced)', '1 unit 2 cloves garlic (peeled and crushed)', '1 unit 1 tablespoon garam masala', '1 unit 2 cups lamb neck (cubed)', '1 unit 1 can diced tomatoes', '1 unit 2 carrots', '1 unit 2 medium baby marrows (sliced)', '1 unit salt and cayenne pepper to taste', '1 unit 1 can butter beans (drained and rinsed)', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['in a large saucepan, heat the oil and fry onions for one minute.', 'add the garlic and garam masala, sauté for 1 minute further.', 'add in the lamb and brown well. pour over the tomatoes and simmer well.', 'add in the carrots and marrows. season well and reduce to a simmer for 1 hour.', 'add in the beans and simmer for 15 to 20 minutes further. remove and serve with brown rice.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '5 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '400 mg', 'Potassium': '800 mg', 'Fiber': '8 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '25%'}",dinner,main,maybe,maybe,7
pea pancakes,A diabetic-friendly recipe with a Pakistani twist.,243.0,12.0,32.0,8.0,unknown,"['1 unit 80g whole wheat flour', '1 unit 80g plain flour', '1 unit 1½ teaspoon baking powder', '1 unit 3 eggs', '1 unit 1 cup buttermilk', '1 unit 150g frozen peas', '1 unit sunflower oil spray', '1 unit 150ml low-fat natural yogurt', '1 unit 2 tablespoon sweet chilli sauce', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['put the flours and baking powder in a large bowl and stir to combine. in a separate bowl, whisk the eggs with the buttermilk and 80ml water. pour the wet mixture into the dry, stir to combine, then stir in the peas', 'heat a large nonstick frying pan over a medium heat and add a spray of oil. fry small spoonfuls of the mixture for 1-2 mins or until bubbles appear on the surface, then flip and cook for a further 1-2 mins until golden. repeat until all the mixture is used, adding a spray of oil to the pan between batches.', 'put the yogurt in a bowl and swirl through the sweet chilli sauce. serve the pancakes hot or cold, with the yogurt for dipping.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '100 mg', 'Sodium': '180 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '15%', 'Iron': '10%'}",breakfast,main,maybe,maybe,6
lemon and blueberry ice cream,A diabetic-friendly recipe with a Pakistani twist.,145.0,2.0,35.0,7.0,unknown,"['1 unit 3 medium ripe bananas', '1 unit ¼ cup lemon juice', '1 unit ¼ teaspoon vanilla extract or essence', '1 unit ¼ cup cold water', '1 unit ¾ cup frozen blueberries', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['place frozen banana slices, lemon juice and vanilla in a food processor.', 'process until smooth, adding cold water to loosen the mixture, if necessary.', 'transfer to a bowl; stir in frozen blueberries.', 'serve immediately or store in an airtight container in the freezer for up to 1 month.']",2.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '5 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '50 mg', 'Potassium': '450 mg', 'Fiber': '4 g', 'Sugar': '25 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '2%', 'Iron': '8%'}",dessert,dessert,no,yes,3
lemon chia balls,A diabetic-friendly recipe with a Pakistani twist.,165.0,4.0,20.0,12.0,unknown,"['1 unit 1 cup raw almonds', '1 unit 1 cup cashews', '1 unit 4 tablespoons chia seeds', '1 unit 2 cups medjool dates pitted', '1 unit 1 cup desiccated coconut', '1 unit 1 lemon juice', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['place the almonds, cashews, and chia seeds in a food processor.', 'blend until the nuts are chopped finely, resembling breadcrumbs.', 'add dates and lemon juice and blend until mixture comes together.', 'form mixture into balls and roll in coconut. refrigerate.', 'makes 30 balls.']",30.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '50 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '12 g', 'Vitamin A': '2%', 'Vitamin C': '20%', 'Calcium': '4%', 'Iron': '10%'}",afternoon_snack,snack,maybe,yes,7
